time_s,target_x,target_y,target_z,position_x,position_y,position_z,pd_x,pd_y,pd_z,position_error_m,pd_error_m,tau_base,tau_shoulder,tau_elbow
1.368000000000000993e+00,8.431524213112582267e-01,3.160438354847241310e-02,7.199999999999999734e-01,8.435135532877924280e-01,4.411496759750333646e-02,7.177858195642904393e-01,8.432102625026344223e-01,2.752991296434583249e-02,7.149672298084165378e-01,1.271014258591229677e-02,6.475602824882281845e-03,1.008785726691586504e+01,-2.487580877032191040e+01,-4.504185729624952117e-01
1.404000000000001025e+00,8.411372682076843077e-01,1.904291068830477746e-02,7.199999999999999734e-01,8.414834400331546727e-01,3.193062232727175015e-02,7.176583094759390047e-01,8.415028029937735576e-01,1.486562815099307620e-02,7.150009224244436856e-01,1.310329961240264129e-02,6.524881737073886037e-03,1.027085297418529564e+01,-2.467654265078291331e+01,-5.947233707123142921e-01
1.440000000000001057e+00,8.401264964436316873e-01,6.361042415508070570e-03,7.199999999999999734e-01,8.404719741956282464e-01,1.951738136431883930e-02,7.175312640624705862e-01,8.408037838747695059e-01,2.105768819850334806e-03,7.150225685708390122e-01,1.339041696671052113e-02,6.583380231330900403e-03,1.035766838540268608e+01,-2.449509396440809184e+01,-7.483536373275974096e-01
1.476000000000001089e+00,8.401264964436316873e-01,-6.361042415508102663e-03,7.199999999999999734e-01,8.404814183605193723e-01,6.951071985786300318e-03,7.174020199530184438e-01,8.411177546468411315e-01,-1.066829617290111429e-02,7.150318102523194330e-01,1.356789813216296298e-02,6.649656917839014310e-03,1.034675985609589688e+01,-2.432964031097233715e+01,-9.096667096782651285e-01
1.512000000000001121e+00,8.411372682076843077e-01,-1.904291068830480868e-02,7.199999999999999734e-01,8.415071280929566910e-01,-5.690544163751434792e-03,7.172676749721862421e-01,8.424428542335757886e-01,-2.337502984612951223e-02,7.150284989478843389e-01,1.363407819393612497e-02,6.722174795390386398e-03,1.023846206564189742e+01,-2.417803100839604724e+01,-1.076953394540894671e+00
1.548000000000001153e+00,8.431524213112582267e-01,-3.160438354847244086e-02,7.199999999999999734e-01,8.435378104886903650e-01,-1.832816144047614421e-02,7.171252764727437112e-01,8.447708189184418570e-01,-3.593329087033728109e-02,7.150127086054764991e-01,1.358935736659729401e-02,6.799391507342449417e-03,1.003498828517228603e+01,-2.403801561505224882e+01,-1.248475342125273002e+00
1.584000000000001185e+00,8.461592153076127332e-01,-4.396604332016403743e-02,7.199999999999999734e-01,8.465558435969682272e-01,-3.088139686856454860e-02,7.169720171602456116e-01,8.480870298640927896e-01,-4.826289811627611920e-02,7.149847349215685544e-01,1.343629289801018950e-02,6.879848392950349383e-03,9.740324536899297669e+00,-2.390747426279232357e+01,-1.422500346941331983e+00
1.620000000000001217e+00,8.501386402770035877e-01,-5.604973561021191902e-02,7.199999999999999734e-01,8.505376345508526281e-01,-4.326933329620093194e-02,7.168054233690789312e-01,8.523706001738453608e-01,-6.028518718685173250e-02,7.149450806747695841e-01,1.317965096614354646e-02,6.962248517810770698e-03,9.360027598830381379e+00,-2.378462475439120638e+01,-1.597334546761846497e+00
1.656000000000001249e+00,8.550655370135162858e-01,-6.777906342536449413e-02,7.199999999999999734e-01,8.554539941446921425e-01,-5.541113171319185515e-02,7.166235216008339792e-01,8.575945014916279696e-01,-7.192355048889070845e-02,7.148944286899149292e-01,1.282642741217372533e-02,7.045515790462069522e-03,8.900947532444124732e+00,-2.366818515588364136e+01,-1.771350937068225662e+00
1.692000000000001281e+00,8.609087560896668823e-01,-7.907987017867569579e-02,7.199999999999999734e-01,8.612705081729070677e-01,-6.722669857697514961e-02,7.164249717061406120e-01,8.637257300745989630e-01,-8.310395354028846104e-02,7.148336055291796276e-01,1.238585357942616205e-02,7.128830280004978467e-03,8.370902685912522401e+00,-2.355747761392862927e+01,-1.943013981162042825e+00
1.728000000000001313e+00,8.676313547931108205e-01,-8.988070853132335003e-02,7.199999999999999734e-01,8.679478905739437256e-01,-7.863738883448598282e-02,7.162091589094409239e-01,8.707255120571228968e-01,-9.375542190863130065e-02,7.147635399635313691e-01,1.186941063742044319e-02,7.211638277413854291e-03,7.778337885065454316e+00,-2.345246781063865882e+01,-2.110900323246440280e+00
1.764000000000001345e+00,8.751908306903660728e-01,-1.001132921056896302e-01,7.199999999999999734e-01,8.754423094393621874e-01,-8.956672245960055345e-02,7.159762412800033671e-01,8.785495472443779486e-01,-1.038104951118563879e-01,7.146852205389134793e-01,1.129088159081268784e-02,7.293638850326273661e-03,7.131994740649970410e+00,-2.335374305944191420e+01,-2.273715700518053495e+00
1.800000000000001377e+00,8.835393903408809146e-01,-1.097129272138261252e-01,7.199999999999999734e-01,8.837056832378646920e-01,-9.994109192683711673e-02,7.157271535452883748e-01,8.871482902633491818e-01,-1.132056456449237469e-01,7.145996561472875985e-01,1.066647247355808313e-02,7.374751142706364657e-03,6.440617574340997464e+00,-2.326243901580043172e+01,-2.430308137523862655e+00
1.836000000000001409e+00,8.926242514625540858e-01,-1.186189218717789151e-01,7.199999999999999734e-01,8.926859502329579366e-01,-1.096904398604197917e-01,7.154635717409455475e-01,8.964672673259814761e-01,-1.218816627656834212e-01,7.145078426068712796e-01,1.001502766421443098e-02,7.455068202116565262e-03,5.712710874109960812e+00,-2.318012937926769723e+01,-2.579677446972112875e+00
1.872000000000001441e+00,9.023879766383161583e-01,-1.267749695138519206e-01,7.199999999999999734e-01,9.023273183562499078e-01,-1.187488895681556578e-01,7.151878457219833507e-01,9.064474263026570666e-01,-1.297840016335880531e-01,7.144107370847290195e-01,9.358336792257726522e-03,7.534803634531188517e-03,4.956356040627749593e+00,-2.310869455007638607e+01,-2.720981006376131717e+00
1.908000000000001473e+00,9.127688364539732202e-01,-1.341295049808443052e-01,7.199999999999999734e-01,9.125705053884314299e-01,-1.270553155747118912e-01,7.149029078900138723e-01,9.170255173318452302e-01,-1.368630988277655947e-01,7.143092409986570024e-01,8.721458533013705730e-03,7.614237022009047624e-03,4.179087838641351027e+00,-2.305018432708822829e+01,-2.853535758945195511e+00
1.944000000000001505e+00,9.237011997714390521e-01,-1.406360305315894066e-01,7.199999999999999734e-01,9.233529801808471049e-01,-1.345538459008067678e-01,7.146121667036751113e-01,9.281345008461967527e-01,-1.430746552574723163e-01,7.142041910053829046e-01,8.132833110004617297e-03,7.693663033641349146e-03,3.387825303569796276e+00,-2.300668712113128223e+01,-2.976816404938848137e+00
1.980000000000001537e+00,9.351159486699209822e-01,-1.462534098166455576e-01,7.199999999999999734e-01,9.346092150652375308e-01,-1.411942921154694386e-01,7.143193928625408695e-01,9.397039796884840701e-01,-1.483798871568767774e-01,7.140963569331355565e-01,7.623696499115133023e-03,7.773347796589972700e-03,2.588848232560684082e+00,-2.298021465146841535e+01,-3.090449791165937654e+00
2.015999999999999570e+00,9.469409154316692501e-01,-1.509461279555415480e-01,7.199999999999999734e-01,9.462709579432522222e-01,-1.469325067332390988e-01,7.140286047881826414e-01,9.516606519086115989e-01,-1.527457453803640897e-01,7.139864450849197075e-01,7.226033429767511271e-03,7.853494636414486141e-03,1.787808731609546786e+00,-2.297260744677550903e+01,-3.194205547450536642e+00
2.051999999999995605e+00,9.591013388095239733e-01,-1.546845160732859270e-01,7.199999999999999734e-01,9.582675302618776092e-01,-1.517306701544169634e-01,7.137439584697691242e-01,9.639287808450187622e-01,-1.561451027181003370e-01,7.138751051985258167e-01,6.968392787043517500e-03,7.934219954236045383e-03,9.897672328938251773e-01,-2.298546323040177342e+01,-3.287983038159804750e+00
2.087999999999991640e+00,9.715203366915919903e-01,-1.574449388765473135e-01,7.199999999999999734e-01,9.705261545703256498e-01,-1.555575110429454067e-01,7.134696451493123259e-01,9.764306791639120187e-01,-1.585569085313784654e-01,7.137629394368529834e-01,6.869957524846898034e-03,8.015538919941611606e-03,1.992434522498942595e-01,-2.302008773809247444e+01,-3.371794684268575537e+00
