time_s,target_x,target_y,target_z,kinematic_x,kinematic_y,kinematic_z,mujoco_x,mujoco_y,mujoco_z,kinematic_error_m,mujoco_error_m
1.056000000000000716e+00,8.210083211185632557e-01,1.902574285552673106e-02,7.199999999999999734e-01,8.211151744131386376e-01,2.048334167701139699e-02,7.199978871456633733e-01,8.215911551125837375e-01,4.784277613954453917e-02,7.162949130184139701e-01,1.461511688324300959e-03,2.906008899328930625e-02
1.080000000000000737e+00,8.201121287928438974e-01,6.352463503053481716e-03,7.199999999999999734e-01,8.201162248565525559e-01,7.805442745821248619e-03,7.199996112573566753e-01,8.206199003050613783e-01,3.596709693246823158e-02,7.160563910625201700e-01,1.452985068324083324e-03,2.988036807870679198e-02
1.104000000000000759e+00,8.201121287928438974e-01,-6.352463503053438348e-03,7.199999999999999734e-01,8.200139529636429891e-01,-4.912004515881671779e-03,7.200000130541768240e-01,8.205726706255781489e-01,2.386610776969138106e-02,7.158226917113862386e-01,1.443800743639373895e-03,3.050940925491310921e-02
1.128000000000000780e+00,8.210083211185632557e-01,-1.902574285552668595e-02,7.199999999999999734e-01,8.208088768578583050e-01,-1.760515291021647402e-02,7.199990428155014222e-01,8.214421325267580176e-01,1.159419127258913204e-02,7.155891148896702525e-01,1.434522471781735347e-03,3.093904435829523611e-02
1.152000000000000801e+00,8.227962409849149950e-01,-3.160423691411770597e-02,7.199999999999999734e-01,8.224970186143943929e-01,-3.021026601319439300e-02,7.199967179309615384e-01,8.232156363450262582e-01,-7.921289418373910797e-04,7.153504601172965272e-01,1.425727769112355514e-03,3.116376279085041751e-02
1.176000000000000822e+00,8.254669810650601125e-01,-4.402528025414391422e-02,7.199999999999999734e-01,8.250699250761555081e-01,-4.266406218469168815e-02,7.199931218037173286e-01,8.258756176995419862e-01,-1.323425502117045634e-02,7.151012865050457856e-01,1.417961706292649284e-03,3.118094951572666917e-02
1.200000000000000844e+00,8.290072358662616825e-01,-5.622699186248290848e-02,7.199999999999999734e-01,8.285147120137514865e-01,-5.490405487673029328e-02,7.199883975985057472e-01,8.294000531194222203e-01,-2.567166788538949654e-02,7.148361923808606022e-01,1.411692823982658778e-03,3.099107997258246372e-02
1.224000000000000865e+00,8.333993680171801754e-01,-6.814858342566659788e-02,7.199999999999999734e-01,8.328141312613410729e-01,-6.686888544163410719e-02,7.199827376089856790e-01,8.337629428560680012e-01,-3.804217556705308950e-02,7.145500969643645561e-01,1.407276440812333307e-03,3.059786632937802967e-02
1.248000000000000886e+00,8.386214961363708253e-01,-7.973066217420139712e-02,7.199999999999999734e-01,8.379466603072442954e-01,-7.849864515156096401e-02,7.199763695158150067e-01,8.389347932037338751e-01,-5.028225824783740666e-02,7.142385062766738457e-01,1.404929799004742000e-03,3.000835648259722252e-02
1.272000000000000908e+00,8.446476038442248813e-01,-9.091552677435849050e-02,7.199999999999999734e-01,8.438866136839113796e-01,-8.973518384961241823e-02,7.199695410815881713e-01,8.448830728374420174e-01,-6.232750350253814242e-02,7.138977470619624066e-01,1.404721748177516520e-03,2.923299524777946135e-02
1.296000000000000929e+00,8.514476693752640601e-01,-1.016474547933155642e-01,7.199999999999999734e-01,8.506042753851514870e-01,-1.005224034384349235e-01,7.199625048537083849e-01,8.515726223056683253e-01,-7.411311824673205706e-02,7.135251556432674613e-01,1.406577356447984411e-03,2.828566618871211288e-02
1.320000000000000950e+00,8.589878151450665023e-01,-1.118729803055146382e-01,7.199999999999999734e-01,8.580660514378520842e-01,-1.108065351539912757e-01,7.199555042478553712e-01,8.589660021666950529e-01,-8.557449849703664679e-02,7.131192128582303225e-01,1.410295524031849376e-03,2.718374243784721714e-02
1.344000000000000972e+00,8.672304765266880544e-01,-1.215411602572134681e-01,7.199999999999999734e-01,8.662346416689333806e-01,-1.205364001750938718e-01,7.199487620295533796e-01,8.670237724226945719e-01,-9.664783478256691596e-02,7.126796209265741089e-01,1.415575930904356501e-03,2.594818547706074369e-02
1.368000000000000993e+00,8.761345889957435906e-01,-1.306038282622168367e-01,7.199999999999999734e-01,8.750692296345725651e-01,-1.296636535294941051e-01,7.199424717840749999e-01,8.757047029584366094e-01,-1.072707300338435477e-01,7.122073226938845369e-01,1.422050840199641205e-03,2.460374147436187459e-02
1.392000000000001014e+00,8.856557927118029472e-01,-1.390158345643899007e-01,7.199999999999999734e-01,8.845256896165722971e-01,-1.381430114644980611e-01,7.199367925463275864e-01,8.849659208429770940e-01,-1.173828078392217672e-01,7.117044676751023147e-01,1.429317442611837416e-03,2.317929302288268545e-02
1.416000000000001036e+00,8.957466535168839838e-01,-1.467352709714721259e-01,7.199999999999999734e-01,8.945568095388919394e-01,-1.459324624797286862e-01,7.199318464129222939e-01,8.947630050541842683e-01,-1.269262916749734904e-01,7.111743323445295362e-01,1.436967319673924850e-03,2.170842312633739293e-02
1.440000000000001057e+00,9.063568992500411481e-01,-1.537236796395827221e-01,7.199999999999999734e-01,9.051125286144146020e-01,-1.529934621194624922e-01,7.199277187117986143e-01,9.050500421703819853e-01,-1.358465395263743214e-01,7.106212040276319586e-01,1.444610843834491249e-03,2.023022065982589893e-02
1.464000000000001078e+00,9.174336702007437339e-01,-1.599462446682648475e-01,7.199999999999999734e-01,9.161401884959741171e-01,-1.592911114473172240e-01,7.199244601678685962e-01,9.157796578385659636e-01,-1.440925226421856109e-01,7.100502385527106552e-01,1.451895562360240328e-03,1.879026375100657439e-02
1.488000000000001100e+00,9.289217824532935985e-01,-1.653719655515501208e-01,7.199999999999999734e-01,9.275847966744389383e-01,-1.647943189282383147e-01,7.199220904638147234e-01,9.269030385799280625e-01,-1.516172414860121609e-01,7.094673016570515189e-01,1.458518594366124037e-03,1.744148776133759571e-02
1.512000000000001121e+00,9.407640028103181340e-01,-1.699738116209200123e-01,7.199999999999999734e-01,9.393893008381209997e-01,-1.694759452616863560e-01,7.199206026300319916e-01,9.383699570668554424e-01,-1.583780758665782606e-01,7.088788032324406796e-01,1.464233713031187810e-03,1.624418542891833614e-02
1.536000000000001142e+00,9.529013339256806603e-01,-1.737288567107369008e-01,7.199999999999999734e-01,9.514948728801978506e-01,-1.733129305714773971e-01,7.199199677798736596e-01,9.501288117904829189e-01,-1.643370694878986960e-01,7.082915320903341305e-01,1.468854105089494955e-03,1.526370751229540537e-02
